Dan, Butter, 16982, 17693, 14074, 982, 958, 990, 31, 39, 32, 
Boo, Ice, 9460, 12209, 10993, 977, 987, 944, 22, 23, 25, 
Wally, Fish, 12181, 18590, 14653, 982, 998, 982, 27, 31, 27, 
Mia, Eggs, 17227, 16051, 14530, 976, 888, 997, 31, 33, 32, 
Emily, Dates, 15732, 12637, 14394, 995, 901, 952, 32, 28, 26, 
Helen, Butter, 12821, 9005, 15278, 933, 992, 985, 25, 19, 33, 
Helen, Jellies, 15309, 15256, 11339, 977, 980, 938, 32, 24, 25, 
Chae, Cherry, 20850, 6037, 13739, 993, 950, 933, 42, 14, 29, 
Sam, Butter, 15564, 11199, 14597, 972, 999, 978, 25, 21, 28, 
Mia, Dates, 8345, 9544, 14843, 855, 988, 987, 20, 20, 30, 
Boo, Apple, 13471, 14987, 14045, 972, 979, 999, 29, 27, 25, 
Boo, Ham, 11289, 20404, 11312, 999, 976, 996, 24, 35, 24, 
Emily, Apple, 18232, 10442, 15258, 975, 950, 984, 37, 22, 35, 
Sam, Apple, 11164, 17479, 12264, 888, 1000, 873, 24, 30, 30, 
Emily, Ham, 13657, 15323, 16353, 978, 975, 952, 31, 34, 35, 
Emily, Grapes, 13542, 11090, 9170, 978, 937, 932, 24, 24, 23, 
Wally, Butter, 12526, 15517, 12137, 974, 993, 954, 30, 26, 26, 
Dan, Ice, 16482, 19226, 10877, 966, 924, 953, 31, 33, 19, 
Wally, Ice, 10106, 10913, 14812, 949, 987, 966, 22, 21, 27, 
Sam, Ham, 12761, 12534, 17144, 972, 969, 969, 22, 24, 35, 
Sam, Cherry, 14360, 15243, 9161, 1000, 949, 980, 26, 30, 18, 
Chae, Ice, 12342, 13231, 19340, 998, 956, 973, 23, 27, 37, 
Claire, Dates, 14041, 12038, 7707, 999, 958, 979, 31, 28, 17, 
Helen, Ham, 15107, 13825, 15365, 897, 924, 925, 40, 26, 36, 
Mia, Ice, 12623, 15726, 13702, 987, 981, 948, 20, 26, 31, 
Emily, Butter, 18216, 13061, 12152, 950, 974, 975, 31, 29, 24, 
Wally, Ham, 20980, 10573, 12542, 994, 907, 948, 37, 24, 24, 
Claire, Cherry, 15576, 14802, 14878, 961, 997, 954, 26, 29, 29, 
Claire, Ham, 13389, 14167, 18694, 982, 968, 985, 32, 27, 34, 
Helen, Dates, 12210, 11855, 15232, 987, 968, 981, 26, 26, 26, 
Sam, Eggs, 14893, 14978, 18040, 992, 980, 991, 25, 29, 32, 
Boo, Dates, 9628, 16506, 13501, 1000, 983, 961, 26, 32, 29, 
Chae, Ham, 12679, 11724, 13523, 992, 997, 982, 25, 26, 27, 
Sam, Grapes, 11595, 12544, 12468, 943, 1000, 989, 27, 27, 27, 
Mia, Ham, 14151, 11527, 8946, 983, 961, 992, 24, 23, 21, 
Boo, Cherry, 14503, 14616, 9774, 1000, 982, 997, 32, 28, 19, 
Claire, Apple, 15622, 13539, 11650, 929, 969, 989, 34, 28, 24, 
Helen, Ice, 23920, 14846, 13109, 979, 982, 977, 39, 29, 31, 
Wally, Apple, 14482, 7719, 20386, 948, 945, 967, 28, 15, 40, 
Boo, Eggs, 13869, 17064, 17680, 990, 947, 990, 31, 34, 33, 
Emily, Ice, 9669, 12599, 7097, 968, 950, 984, 22, 25, 20, 
Sam, Jellies, 17553, 12691, 15515, 997, 970, 956, 31, 24, 28, 
Emily, Eggs, 13195, 12597, 13192, 976, 977, 963, 35, 30, 27, 
Boo, Jellies, 14865, 14172, 12467, 964, 966, 983, 31, 30, 28, 
Claire, Ice, 13437, 13144, 12263, 960, 997, 913, 28, 25, 27, 
Emily, Jellies, 10605, 10409, 12990, 845, 994, 984, 25, 24, 29, 
Sam, Dates, 15551, 17564, 12150, 988, 997, 996, 32, 32, 26, 
Mia, Cherry, 13085, 18865, 8930, 949, 999, 917, 27, 37, 21, 
Chae, Apple, 14112, 13342, 11453, 981, 921, 943, 27, 26, 23, 
Dan, Dates, 15129, 21282, 22177, 992, 989, 999, 32, 40, 43, 
Claire, Jellies, 15702, 15469, 10781, 914, 994, 938, 31, 31, 22, 
Mia, Apple, 13973, 16344, 20119, 989, 882, 990, 32, 33, 35, 
Boo, Butter, 20110, 10737, 14522, 993, 986, 983, 39, 20, 31, 
Dan, Eggs, 12950, 15755, 12992, 974, 925, 970, 25, 29, 28, 
